,year,round,circuitId,weather,weather2,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy
289,1992,2,32,Scattered Clouds   °C (   °F)  ],Scattered Clouds27 °C (81 °F) 1],0,0,0,0,1
290,1992,3,18,Dry,Dry,0,0,1,0,0
291,1992,4,4,Dry at start  wet later,Dry at start  wet later,0,0,1,1,0
292,1992,5,21,Sunny,Sunny,1,0,0,0,0
293,1992,6,6,Dry,Dry,0,0,1,0,0
294,1992,7,7,Dry with temperatures reaching up to    °C (   °F)  wind speeds up to    kilometres per hour (    mph)  ],Dry with temperatures reaching up to 25 °C (77 °F); wind speeds up to 14 kilometres per hour (8 7 mph) 1],0,0,1,0,0
295,1992,8,8,Dry  then raining,Dry  then raining,0,0,1,0,0
296,1992,9,9,Dry,Dry,0,0,1,0,0
297,1992,10,10,Dry,Dry,0,0,1,0,0
298,1992,11,11,Dry,Dry,0,0,1,0,0
299,1992,12,13,Overcast  brief rain mid-race,Overcast  brief rain mid-race,0,0,0,1,1
300,1992,13,14,Sunny and warm,Sunny and warm,1,0,0,0,0
301,1992,14,27,Dry  sunny  windy,Dry  sunny  windy,1,0,1,0,0
302,1992,15,22,Dry  warm  cloudy,Dry  warm  cloudy,1,0,1,0,1
303,1992,16,29,Cloudy,Cloudy,0,0,0,0,1
304,1991,1,33,Overcast   °C (   °F)  ],Overcast25 °C (77 °F) 1],0,0,0,0,1
305,1991,2,18,Cloudy at start  rainy later  Ambient temperature      °C (  °F) Humidity    % Wind speed       km h (   mph) ,Cloudy at start  rainy later  Ambient temperature: 29 4°C (85°F) Humidity: 95% Wind speed: 33 7 km/h (21 mph) ,0,0,0,1,1
306,1991,3,21,Wet at start  dry by finish,Wet at start  dry by finish,0,0,1,1,0
307,1991,4,6,Cloudy  mild  dry,Cloudy  mild  dry,1,0,1,0,1
308,1991,5,7,Mild with temperatures approaching    °C (   °F)  wind speeds up to    kilometres per hour (    mph)  ],Mild with temperatures approaching 25 °C (77 °F); wind speeds up to 12 kilometres per hour (7 5 mph) 1],1,0,0,0,0
309,1991,6,32,Mostly Cloudy   °C (   °F)  ],Mostly Cloudy24 °C (75 °F) 1],0,0,0,0,1
310,1991,7,8,not found,not found,0,0,0,0,0
311,1991,8,9,Hot  dry  sunny,Hot  dry  sunny,1,0,1,0,0
312,1991,9,10,Hot and sunny,Hot and sunny,1,0,0,0,0
313,1991,10,11,Hot dry  sunny,Hot dry  sunny,1,0,1,0,0
314,1991,11,13,not found,not found,0,0,0,0,0
315,1991,12,14,Sunny and warm,Sunny and warm,1,0,0,0,0
316,1991,13,27,Sunny and warm,Sunny and warm,1,0,0,0,0
317,1991,14,4,Warm and overcast  drying,Warm and overcast  drying,1,0,0,0,1
318,1991,15,22,Sunny  warm,Sunny  warm,1,0,0,0,0
319,1991,16,29,Torrential rain,Torrential rain,0,0,0,1,0
320,1990,1,33,Cloudy and cool with temperatures reaching up to    °C (   °F)  ],Cloudy and cool with temperatures reaching up to 18 °C (64 °F) 1],0,1,0,0,1
321,1990,2,18,Hot  dry  sunny,Hot  dry  sunny,1,0,1,0,0
322,1990,3,21,Warm  dry  sunny,Warm  dry  sunny,1,0,1,0,0
323,1990,4,6,Warm  dry  sunny,Warm  dry  sunny,1,0,1,0,0
324,1990,5,7,Warm and cloudy with temperatures approaching      °C (     °F)  wind speeds up to      kilometres per hour (     mph)  ],Warm and cloudy with temperatures approaching 19 8 °C (67 6 °F); wind speeds up to 27 8 kilometres per hour (17 3 mph) 1],1,0,0,0,1
325,1990,6,32,Overcast   °C (   °F)  ],Overcast21 °C (70 °F) 1],0,0,0,0,1
326,1990,7,34,Hot  dry  sunny,Hot  dry  sunny,1,0,1,0,0
327,1990,8,9,Hot  dry  sunny,Hot  dry  sunny,1,0,1,0,0
328,1990,9,10,Hot  dry  sunny,Hot  dry  sunny,1,0,1,0,0
329,1990,10,11,Dry,Dry,0,0,1,0,0
330,1990,11,13,Dry,Dry,0,0,1,0,0
331,1990,12,14,Hot  dry  sunny,Hot  dry  sunny,1,0,1,0,0
332,1990,13,27,not found,not found,0,0,0,0,0
333,1990,14,26,Dry  hot  sunny,Dry  hot  sunny,1,0,1,0,0
334,1990,15,22,Sunny,Sunny,1,0,0,0,0
335,1990,16,29,Sunny,Sunny,1,0,0,0,0
336,2010,1,3,Sunny,Sunny,1,0,0,0,0
337,2010,2,1,Overcast with light rain at start,Overcast with light rain at start,0,0,0,1,1
338,2010,3,2,Mainly cloudy  dry,Mainly cloudy  dry,0,0,1,0,1
339,2010,4,17,Cloudy  rain,Cloudy  rain,0,0,0,1,1
340,2010,5,4,Mainly cloudy  dry,Mainly cloudy  dry,0,0,1,0,1
341,2010,6,6,Mainly cloudy  dry,Mainly cloudy  dry,0,0,1,0,1
342,2010,7,5,Air     to    °C (   to    °F) Track     to    °C (    to     °F),Air: 28 to 29 °C (82 to 84 °F) Track: 39 to 49 °C (102 to 120 °F),0,0,0,0,0
343,2010,8,7,Warm with temperatures approaching    °C (   °F)  wind speeds up to     kilometres per hour (    mph)  ],Warm with temperatures approaching 26 °C (79 °F); wind speeds up to 4 9 kilometres per hour (3 0 mph) 1],1,0,0,0,0
344,2010,9,12,Dry,Dry,0,0,1,0,0
345,2010,10,9,Mainly sunny,Mainly sunny,1,0,0,0,0
