,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_tree__criterion,param_tree__max_depth,param_tree__min_samples_leaf,param_tree__min_samples_split,params,split0_test_precision,split1_test_precision,split2_test_precision,split3_test_precision,split4_test_precision,mean_test_precision,std_test_precision,rank_test_precision,split0_test_recall,split1_test_recall,split2_test_recall,split3_test_recall,split4_test_recall,mean_test_recall,std_test_recall,rank_test_recall,split0_test_f1,split1_test_f1,split2_test_f1,split3_test_f1,split4_test_f1,mean_test_f1,std_test_f1,rank_test_f1
14,0.0065975189208984375,0.001203072104090368,0.004996252059936523,0.001093130568093084,entropy,3,0.05,0.05,"{'tree__criterion': 'entropy', 'tree__max_depth': 3, 'tree__min_samples_leaf': 0.05, 'tree__min_samples_split': 0.05}",0.6140350877192983,0.5833333333333334,0.5416666666666666,0.5849056603773585,0.6440677966101694,0.5935956134667395,0.03417786893873504,9,0.5303030303030303,0.5303030303030303,0.4,0.47692307692307695,0.5846153846153846,0.5044287246023021,0.062329993017185004,7,0.5691056910569104,0.5555555555555556,0.4601769911504425,0.5254237288135594,0.6129032258064516,0.5446304028530531,0.05074779657892056,4
15,0.007399368286132813,0.0008025287575171396,0.004995393753051758,0.0006290629349513001,gini,10,0.05,0.05,"{'tree__criterion': 'gini', 'tree__max_depth': 10, 'tree__min_samples_leaf': 0.05, 'tree__min_samples_split': 0.05}",0.6140350877192983,0.5833333333333334,0.5416666666666666,0.5849056603773585,0.6440677966101694,0.5935956134667395,0.03417786893873504,9,0.5303030303030303,0.5303030303030303,0.4,0.47692307692307695,0.5846153846153846,0.5044287246023021,0.062329993017185004,7,0.5691056910569104,0.5555555555555556,0.4601769911504425,0.5254237288135594,0.6129032258064516,0.5446304028530531,0.05074779657892056,4
16,0.0061934471130371095,0.00039517415663930177,0.004402637481689453,0.0004905044942326135,entropy,3,0.05,0.01,"{'tree__criterion': 'entropy', 'tree__max_depth': 3, 'tree__min_samples_leaf': 0.05, 'tree__min_samples_split': 0.01}",0.6140350877192983,0.5833333333333334,0.5416666666666666,0.5849056603773585,0.6440677966101694,0.5935956134667395,0.03417786893873504,9,0.5303030303030303,0.5303030303030303,0.4,0.47692307692307695,0.5846153846153846,0.5044287246023021,0.062329993017185004,7,0.5691056910569104,0.5555555555555556,0.4601769911504425,0.5254237288135594,0.6129032258064516,0.5446304028530531,0.05074779657892056,4
17,0.0067955970764160155,0.0013264684949982346,0.007394313812255859,0.0016259307014600596,gini,3,0.05,0.01,"{'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 0.05, 'tree__min_samples_split': 0.01}",0.6140350877192983,0.5833333333333334,0.5416666666666666,0.5849056603773585,0.6440677966101694,0.5935956134667395,0.03417786893873504,9,0.5303030303030303,0.5303030303030303,0.4,0.47692307692307695,0.5846153846153846,0.5044287246023021,0.062329993017185004,7,0.5691056910569104,0.5555555555555556,0.4601769911504425,0.5254237288135594,0.6129032258064516,0.5446304028530531,0.05074779657892056,4
18,0.0061985492706298825,0.0007471570941841822,0.004997396469116211,0.0006321085742584218,gini,3,0.05,0.05,"{'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 0.05, 'tree__min_samples_split': 0.05}",0.6140350877192983,0.5833333333333334,0.5416666666666666,0.5849056603773585,0.6440677966101694,0.5935956134667395,0.03417786893873504,9,0.5303030303030303,0.5303030303030303,0.4,0.47692307692307695,0.5846153846153846,0.5044287246023021,0.062329993017185004,7,0.5691056910569104,0.5555555555555556,0.4601769911504425,0.5254237288135594,0.6129032258064516,0.5446304028530531,0.05074779657892056,4
19,0.0069958209991455075,5.368601968779591e-06,0.004198026657104492,0.00040104404427575546,gini,10,0.05,0.01,"{'tree__criterion': 'gini', 'tree__max_depth': 10, 'tree__min_samples_leaf': 0.05, 'tree__min_samples_split': 0.01}",0.6140350877192983,0.5833333333333334,0.5416666666666666,0.5849056603773585,0.6440677966101694,0.5935956134667395,0.03417786893873504,9,0.5303030303030303,0.5303030303030303,0.4,0.47692307692307695,0.5846153846153846,0.5044287246023021,0.062329993017185004,7,0.5691056910569104,0.5555555555555556,0.4601769911504425,0.5254237288135594,0.6129032258064516,0.5446304028530531,0.05074779657892056,4
20,0.007805538177490234,0.0007496731590852435,0.004590654373168945,0.00048702447987450907,entropy,5,0.05,0.05,"{'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.05, 'tree__min_samples_split': 0.05}",0.6140350877192983,0.5833333333333334,0.5416666666666666,0.5849056603773585,0.6440677966101694,0.5935956134667395,0.03417786893873504,9,0.5303030303030303,0.5303030303030303,0.4,0.47692307692307695,0.5846153846153846,0.5044287246023021,0.062329993017185004,7,0.5691056910569104,0.5555555555555556,0.4601769911504425,0.5254237288135594,0.6129032258064516,0.5446304028530531,0.05074779657892056,4
21,0.005998992919921875,0.0006400897901475057,0.0045947074890136715,0.0008010535091494799,entropy,3,0.05,0.1,"{'tree__criterion': 'entropy', 'tree__max_depth': 3, 'tree__min_samples_leaf': 0.05, 'tree__min_samples_split': 0.1}",0.6140350877192983,0.5833333333333334,0.5416666666666666,0.5849056603773585,0.6440677966101694,0.5935956134667395,0.03417786893873504,9,0.5303030303030303,0.5303030303030303,0.4,0.47692307692307695,0.5846153846153846,0.5044287246023021,0.062329993017185004,7,0.5691056910569104,0.5555555555555556,0.4601769911504425,0.5254237288135594,0.6129032258064516,0.5446304028530531,0.05074779657892056,4
22,0.0079925537109375,0.004515160512151494,0.0062045097351074215,0.0009828615646533115,gini,3,0.05,0.1,"{'tree__criterion': 'gini', 'tree__max_depth': 3, 'tree__min_samples_leaf': 0.05, 'tree__min_samples_split': 0.1}",0.6140350877192983,0.5833333333333334,0.5416666666666666,0.5849056603773585,0.6440677966101694,0.5935956134667395,0.03417786893873504,9,0.5303030303030303,0.5303030303030303,0.4,0.47692307692307695,0.5846153846153846,0.5044287246023021,0.062329993017185004,7,0.5691056910569104,0.5555555555555556,0.4601769911504425,0.5254237288135594,0.6129032258064516,0.5446304028530531,0.05074779657892056,4
23,0.007804775238037109,0.0007497838877024038,0.005387401580810547,0.0010202762071119165,entropy,5,0.05,0.01,"{'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.05, 'tree__min_samples_split': 0.01}",0.6140350877192983,0.5833333333333334,0.5416666666666666,0.5849056603773585,0.6440677966101694,0.5935956134667395,0.03417786893873504,9,0.5303030303030303,0.5303030303030303,0.4,0.47692307692307695,0.5846153846153846,0.5044287246023021,0.062329993017185004,7,0.5691056910569104,0.5555555555555556,0.4601769911504425,0.5254237288135594,0.6129032258064516,0.5446304028530531,0.05074779657892056,4
24,0.00919513702392578,0.00039313832484534297,0.004794263839721679,0.00040488699383804623,entropy,10,0.01,0.01,"{'tree__criterion': 'entropy', 'tree__max_depth': 10, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.01}",0.6578947368421053,0.4939759036144578,0.4473684210526316,0.625,0.7647058823529411,0.5977431189089949,0.11454621601222001,8,0.3787878787878788,0.6212121212121212,0.26153846153846155,0.6923076923076923,0.2,0.4307900007417847,0.19451821266329536,25,0.4807692307692307,0.5503355704697986,0.3300970873786408,0.6569343065693432,0.3170731707317074,0.4670528852037901,0.12990790075493264,22
25,0.009696054458618163,0.0008621289851073356,0.004399490356445312,0.00048824398170491676,entropy,5,0.01,0.01,"{'tree__criterion': 'entropy', 'tree__max_depth': 5, 'tree__min_samples_leaf': 0.01, 'tree__min_samples_split': 0.01}",0.6578947368421053,0.4939759036144578,0.4473684210526316,0.625,1.0,0.6447565626664401,0.19409159552324917,7,0.3787878787878788,0.6212121212121212,0.26153846153846155,0.6923076923076923,0.12307692307692308,0.4154202210518507,0.21419098628902966,26,0.4807692307692307,0.5503355704697986,0.3300970873786408,0.6569343065693432,0.21917808219178084,0.4474927479371818,0.15580613814222438,23
